No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-132;Running;21.06.2002;05:17:49;1617;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01000000 00000000;53,9;230;0;0;0;0;0;0;0;MAN
-133;Idle Run;21.06.2002;05:17:37;522;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01000000 00000000;0,0;192;0;0;0;0;0;0;0;MAN
-134;Manual Start;21.06.2002;05:17:35;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-135;Terminal;21.06.2002;05:17:35;T=CELL 1 Start command
-136;Ready;21.06.2002;05:15:16;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-137;Fault reset;21.06.2002;05:15:16;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-138;Terminal;21.06.2002;05:15:16;T=CELL 1 FaultReset command
-139;Not Ready;21.06.2002;05:12:33;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-140;GCB Opened;21.06.2002;05:12:30;338;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000010 00000000;12,4;158;0;0;0;0;0;0;0;MAN
-141;Gen-set Stop;21.06.2002;05:12:30;351;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01100100 00000000;13,0;163;0;0;0;0;0;0;0;MAN
-142;Sd Underspeed;21.06.2002;05:12:30;351;0,00; ;0;0;0;49,9;228;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01100100 00000000;13,0;163;0;0;0;0;0;0;0;MAN
-143;Running;21.06.2002;05:10:44;1621;0,00; ;0;0;0;50,0;230;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01000000 00000000;54,0;227;0;0;0;0;0;0;0;MAN
-144;Idle Run;21.06.2002;05:10:32;497;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01000000 00000000;0,0;189;0;0;0;0;0;0;0;MAN
-145;Manual Start;21.06.2002;05:10:29;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-146;Terminal;21.06.2002;05:10:29;T=CELL 1 Start command
-147;Ready;21.06.2002;04:46:43;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,6;3,7;49;51;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-148;Switched On;21.06.2002;04:46:42;System started
